userId,username,passwordHash,email,firstName,lastName,roleId,isActive,createdAt,updatedAt,voided
11,charlie11,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,charlie11@kisumu.co.ke,Charlie,Brown,1,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
12,diana12,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,diana12@kisumu.co.ke,Diana,Miller,2,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
13,hannah13,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,hannah13@kisumu.co.ke,Hannah,Smith,2,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
14,hannah14,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,hannah14@kisumu.co.ke,Hannah,Evans,3,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
15,hannah15,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,hannah15@kisumu.co.ke,Hannah,Wilson,1,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
16,george16,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,george16@kisumu.co.ke,George,Davis,3,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
17,alice17,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,alice17@kisumu.co.ke,Alice,Taylor,1,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
18,charlie18,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,charlie18@kisumu.co.ke,Charlie,Jones,2,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
19,bob19,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,bob19@kisumu.co.ke,Bob,Miller,2,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
20,hannah20,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,hannah20@kisumu.co.ke,Hannah,Davis,1,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
21,diana21,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,diana21@kisumu.co.ke,Diana,Jones,2,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
22,george22,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,george22@kisumu.co.ke,George,Brown,3,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
23,alice23,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,alice23@kisumu.co.ke,Alice,Brown,2,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
24,edward24,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,edward24@kisumu.co.ke,Edward,Miller,1,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
25,fiona25,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,fiona25@kisumu.co.ke,Fiona,Wilson,1,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
26,alice26,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,alice26@kisumu.co.ke,Alice,Brown,1,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
27,bob27,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,bob27@kisumu.co.ke,Bob,Taylor,3,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
28,bob28,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,bob28@kisumu.co.ke,Bob,Davis,3,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
29,charlie29,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,charlie29@kisumu.co.ke,Charlie,Evans,1,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
30,alice30,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,alice30@kisumu.co.ke,Alice,Smith,1,1,2025-08-28 16:45:01,2025-08-28 16:45:01,0
